garageSpaces,hasAssociation,hasCooling,hasGarage,hasHeating,hasSpa,hasView,parkingSpaces,yearBuilt,latestPrice,numPriceChanges,latest_salemonth,latest_saleyear,numOfPhotos,numOfAccessibilityFeatures,numOfAppliances,numOfParkingFeatures,numOfPatioAndPorchFeatures,numOfSecurityFeatures,numOfWaterfrontFeatures,numOfWindowFeatures,numOfCommunityFeatures,lotSizeSqFt,livingAreaSqFt,numOfPrimarySchools,numOfElementarySchools,numOfMiddleSchools,numOfHighSchools,avgSchoolDistance,avgSchoolRating,avgSchoolSize,MedianStudentsPerTeacher,numOfBathrooms,numOfBedrooms,numOfStories
0,0,0,1,0,1,1,0,2000,219990,1,6,2019,24,0,4,1,0,1,0,0,0,6229,2035,1,0,1,1,1.766666667,3,1457,13,3,3,2
0,0,0,1,0,1,1,0,2009,195000,1,3,2019,26,0,4,1,0,0,0,0,0,6751,1304,1,0,1,1,3.266666667,3,1457,13,2,3,1
7,0,0,0,0,0,0,7,2005,4250000,7,8,2018,40,0,7,2,0,0,0,0,0,106286.4,7284,1,0,1,1,4.1,7,1277,16,7,7,2
2,0,0,0,0,1,1,2,2016,309999,1,3,2018,31,0,7,2,0,0,0,0,0,7100,1907,1,0,1,1,2.9,3.666666667,1532,12,3,3,2
2,0,0,0,0,1,1,2,1988,427000,5,3,2020,8,0,2,2,2,2,0,1,0,10890,2484,1,0,1,1,1.233333333,8,1275,15,3,4,2
0,0,0,1,0,1,1,0,2006,205000,2,1,2018,24,0,6,1,0,0,0,0,0,4399,2088,1,0,1,1,1.9,3,1457,13,3,4,1
0,1,0,1,0,1,1,0,2013,300000,4,11,2018,31,0,2,0,0,0,0,0,0,43560,2100,1,0,1,1,4.9,3.666666667,1532,12,3,4,1
0,0,0,1,0,1,0,0,2008,344600,3,9,2019,41,0,5,2,2,0,0,2,0,6786,2134,1,0,1,1,2,8.333333333,1481,16,3,3,2
2,0,0,0,0,1,1,2,2015,399900,1,6,2020,40,0,4,2,1,4,0,0,0,8537,2629,1,0,1,1,3.133333333,3.666666667,1532,12,3,3,1
2,1,0,0,0,0,1,2,1991,648000,6,11,2020,50,0,6,2,2,2,0,0,0,11325.6,2567,1,0,1,1,1.166666667,9,1616,16,3,4,2
0,0,0,1,0,1,1,0,2009,186500,1,2,2018,6,0,3,1,0,0,0,0,0,7797,1420,1,0,1,1,3.3,3,1457,13,2,3,1
2,0,0,0,0,1,1,2,2015,219000,1,4,2020,28,0,5,2,1,1,0,0,0,4617,1267,1,0,1,1,1.9,3,1457,13,2,3,1
